Program,Department,High School GPA,SAT Score,ACT Score,Advanced Coursework (0-10),STEM Extracurriculars (0-10),Leadership Experience (0-10),Letters of Recommendation (0-10),Personal Statement Quality (0-10),Diversity/Inclusion Contribution (0-10),Transfer Student GPA,Admission Status
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",0.29,912,11,6,10,9,9,1,8,1.17,No
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,2.2,885,8,6,0,8,4,3,4,1.62,Yes
Information Systems,Mechanical Engineering,1.34,1068,26,2,0,3,5,3,10,2.24,No
Mechanical Engineering,Information Systems,3.89,1311,8,6,9,3,5,8,8,0.56,Yes
Business Tech0logy Administration,Computer Science and Electrical Engineering,1.79,922,8,8,7,10,3,8,1,1.77,Yes
Electrical Engineering,Computer Science and Electrical Engineering,0.41,1267,7,6,5,2,1,4,10,3.73,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),2.55,907,34,1,4,2,1,6,5,2.03,No
Environmental Engineering,Mechanical Engineering,3.17,1558,32,6,3,1,0,6,0,0.27,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,2.33,1022,13,9,7,3,4,2,0,0.79,No
Mechanical Engineering,Computer Science and Electrical Engineering,3.1,1209,18,8,9,8,5,8,2,3.21,No
Bioinformatics and Computational Biology,Mechanical Engineering,1.2,1546,13,6,10,3,9,2,4,1.22,Yes
Mechanical Engineering,Information Systems,2.13,1044,30,0,8,4,1,10,6,3.4,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),3.31,1021,1,6,0,3,2,6,9,1.2,Yes
Business Tech0logy Administration,Computer Science and Electrical Engineering,0.3,1435,35,0,1,9,10,6,6,2.24,No
Mechanical Engineering,Mechanical Engineering,1.04,1548,3,1,3,7,2,8,0,2.34,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",2.51,1128,30,8,5,8,10,10,1,2.61,Yes
Cybersecurity Informatics,Information Systems,2.02,1222,25,2,9,5,10,6,0,2.97,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),3.08,1481,33,7,2,4,6,4,0,3.98,No
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",0.71,1044,16,0,0,9,7,9,3,0.03,No
Chemical Engineering,Information Systems,3.39,1343,3,8,2,3,10,10,10,3.1,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,2.47,875,29,9,10,8,1,1,0,3.2,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),0.81,1179,14,5,7,3,4,9,3,0.85,Yes
Electrical Engineering,Information Systems,0.23,1515,5,0,10,1,6,0,10,1.1,No
Cybersecurity Informatics,Information Systems,3.93,890,17,6,4,8,7,5,2,2.4,Yes
Computer Engineering,Information Systems,1.78,1101,29,4,0,8,9,8,6,0.84,No
Cybersecurity Informatics,Information Systems,1.07,1337,21,4,4,5,2,2,8,2.41,No
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",0.72,906,6,8,9,0,5,0,10,0.72,No
Chemical Engineering,Biological Sciences (in collaboration with COEIT),0.98,1581,24,5,7,1,8,0,10,2.22,Yes
Electrical Engineering,Computer Science and Electrical Engineering,1.96,1005,28,8,10,9,3,8,9,3.16,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),3.41,1194,17,1,8,6,5,8,5,3.9,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",0.83,1409,22,3,5,0,3,5,4,1.77,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),1.47,1493,24,5,3,5,4,2,10,1.44,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.19,807,18,2,10,8,2,8,4,3.2,No
Computer Science,"Chemical, Biochemical & Environmental Engineering",2.66,1478,28,9,10,5,3,4,7,1.06,Yes
Business Tech0logy Administration,"Chemical, Biochemical & Environmental Engineering",0.11,814,10,9,4,10,2,7,1,1.8,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",1,1571,1,2,2,6,3,3,8,0.75,Yes
Chemical Engineering,Information Systems,0.51,992,26,9,6,3,5,0,0,3.13,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),0.17,1474,26,9,10,10,1,10,3,1.67,Yes
Environmental Engineering,Mechanical Engineering,3.79,1300,33,0,9,9,9,1,8,2.42,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",2.48,805,9,4,3,0,0,7,4,0.64,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",2.17,914,18,5,9,10,7,10,10,3.75,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),3.44,865,5,3,6,0,2,3,3,3.96,Yes
Environmental Engineering,Information Systems,2.37,1550,22,8,9,7,3,10,7,1.56,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,2.31,894,10,5,3,4,3,0,9,3.37,No
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",0.81,980,14,2,0,6,3,4,5,0.58,Yes
Electrical Engineering,Information Systems,2.48,1522,12,6,8,8,7,3,3,3.02,Yes
Chemical Engineering,Information Systems,2.67,818,32,4,10,2,3,9,6,3.27,No
Chemical Engineering,Mechanical Engineering,3.53,1324,15,8,9,5,2,4,10,2.2,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",1.7,923,33,10,10,5,5,2,4,2.29,No
Mechanical Engineering,Information Systems,0.82,1063,16,4,6,5,1,3,8,3.13,No
Bioinformatics and Computational Biology,Mechanical Engineering,2.28,1176,4,10,9,0,9,7,0,0.99,No
Bioinformatics and Computational Biology,Information Systems,3.89,891,3,6,7,10,8,5,6,0.71,Yes
Business Tech0logy Administration,Mechanical Engineering,0.3,1146,26,5,4,9,4,4,5,2.96,No
Cybersecurity Informatics,Mechanical Engineering,0.01,1367,34,9,1,8,6,10,0,1.96,Yes
Environmental Engineering,Mechanical Engineering,0.14,916,9,2,1,8,0,9,5,3.55,Yes
Mechanical Engineering,Information Systems,3.33,1093,14,9,9,7,1,3,10,3.97,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,0,1161,33,6,0,8,2,9,9,3.41,No
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),0.89,1582,5,3,8,2,3,1,5,0.75,No
Business Tech0logy Administration,Mechanical Engineering,3.93,1373,28,5,6,4,9,0,9,1.78,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",2.98,988,33,5,3,8,2,10,8,2.6,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),0.88,1101,17,2,4,9,1,3,9,1.18,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,0.89,1217,21,1,3,3,5,1,10,3.35,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),1.83,1336,7,2,2,7,0,8,6,1.79,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),0.3,1312,35,7,8,6,7,1,0,0.44,No
Electrical Engineering,Computer Science and Electrical Engineering,2.61,1258,7,0,6,2,0,1,3,0.96,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",1.99,1070,8,10,1,0,9,5,4,2.38,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,1.68,1273,31,2,10,0,1,5,2,2.74,Yes
Business Tech0logy Administration,Information Systems,1.96,1358,5,5,1,9,2,3,8,2.79,Yes
Business Tech0logy Administration,"Chemical, Biochemical & Environmental Engineering",1.09,965,5,6,6,3,3,2,10,0.66,No
Computer Science,"Chemical, Biochemical & Environmental Engineering",0.85,960,24,9,8,6,4,3,7,3.06,Yes
Computer Science,Mechanical Engineering,0.27,1210,22,3,3,1,3,4,4,0.39,No
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",2.5,1235,13,7,5,5,5,7,3,3.82,Yes
Business Tech0logy Administration,"Chemical, Biochemical & Environmental Engineering",1.98,1523,22,10,5,5,2,1,1,3.08,No
Environmental Engineering,Biological Sciences (in collaboration with COEIT),2.84,1067,26,7,8,5,7,9,10,2.81,Yes
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),3.58,1177,1,3,1,2,10,5,6,0.87,Yes
Information Systems,Computer Science and Electrical Engineering,3.97,1561,17,3,9,6,1,6,6,0.57,Yes
Computer Science,Computer Science and Electrical Engineering,0.91,1244,19,10,1,1,8,2,4,0.59,No
Mechanical Engineering,Computer Science and Electrical Engineering,0.67,1220,2,4,4,1,6,4,6,0.92,Yes
Environmental Engineering,Information Systems,3.65,805,11,2,2,0,7,1,10,3.34,Yes
Environmental Engineering,Mechanical Engineering,1.61,1014,30,5,4,10,5,2,4,2.64,No
Business Tech0logy Administration,Information Systems,3.21,1262,23,8,6,5,4,1,2,3.87,No
Information Systems,Information Systems,0.54,1182,15,1,9,10,4,9,6,0.37,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,1.18,1147,23,2,0,7,6,10,5,2.82,Yes
Chemical Engineering,Mechanical Engineering,0.04,1191,12,9,3,10,3,0,7,3.41,Yes
Bioinformatics and Computational Biology,Information Systems,3.96,1317,27,10,3,3,0,7,1,1.92,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),0.02,987,6,0,3,3,5,2,2,0.24,Yes
Chemical Engineering,Information Systems,0.69,953,30,5,2,6,4,6,1,2.59,Yes
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),2.23,976,5,10,3,7,6,2,6,2.48,Yes
Computer Science,Information Systems,3.4,1585,35,10,6,1,0,6,2,3.77,Yes
Environmental Engineering,Mechanical Engineering,3.18,926,6,2,2,4,6,7,2,3.3,No
Electrical Engineering,Biological Sciences (in collaboration with COEIT),1.01,941,14,0,9,2,10,5,7,2.18,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),3.52,1225,17,6,8,7,9,8,5,0.45,No
Business Tech0logy Administration,Computer Science and Electrical Engineering,0.28,1548,9,5,9,0,1,0,1,0.22,Yes
Business Tech0logy Administration,Biological Sciences (in collaboration with COEIT),1.33,1168,31,9,7,6,6,0,5,3.61,No
Chemical Engineering,Information Systems,1.05,1398,10,9,7,10,9,1,6,1.9,No
Cybersecurity Informatics,Information Systems,2.62,1369,27,6,4,5,10,3,6,2.57,No
Computer Engineering,Computer Science and Electrical Engineering,0.15,1543,5,6,2,1,1,5,6,2.86,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",3.42,1222,17,1,1,5,2,8,5,2.22,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),3.85,1052,31,3,3,7,6,4,5,3.45,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),0.95,1463,14,4,10,0,1,8,1,0.24,No
Computer Engineering,Biological Sciences (in collaboration with COEIT),3.61,1547,23,8,9,7,3,4,3,3.06,Yes
Bioinformatics and Computational Biology,Information Systems,3.62,1047,29,10,1,9,8,1,3,3.05,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,2.51,815,15,10,10,0,5,8,3,0.93,Yes
Environmental Engineering,Mechanical Engineering,2.03,1196,12,7,8,8,10,8,3,0.48,Yes
Chemical Engineering,Mechanical Engineering,3.1,913,33,7,1,0,7,6,10,2.55,Yes
Business Tech0logy Administration,Computer Science and Electrical Engineering,2.07,1213,30,8,3,7,10,3,0,1.33,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,2.98,940,22,6,6,7,8,4,5,0.06,No
Environmental Engineering,Information Systems,0.37,1524,30,10,2,9,8,0,6,1.76,Yes
Information Systems,Mechanical Engineering,1.14,1138,32,5,0,8,6,5,4,2.55,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",1.58,954,20,8,9,9,10,8,3,3.67,No
Environmental Engineering,Biological Sciences (in collaboration with COEIT),0.82,1221,20,4,5,9,9,9,7,1.73,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,0.92,1291,2,4,0,3,1,5,10,0.58,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.05,837,31,2,10,2,10,8,1,1.72,Yes
Business Tech0logy Administration,Biological Sciences (in collaboration with COEIT),0.69,978,28,8,1,3,10,10,7,3.06,Yes
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),0.45,950,3,1,5,7,5,1,3,0.39,Yes
Business Tech0logy Administration,Computer Science and Electrical Engineering,1.12,1455,20,9,1,3,7,4,3,0.74,Yes
Business Tech0logy Administration,"Chemical, Biochemical & Environmental Engineering",0.64,845,35,2,10,8,3,2,1,1.1,Yes
Computer Science,Mechanical Engineering,0.81,1527,19,3,4,2,8,6,7,1.83,Yes
Mechanical Engineering,Mechanical Engineering,3.13,1310,6,0,3,4,7,1,8,3.67,No
Chemical Engineering,Information Systems,1.76,913,11,1,7,7,0,0,0,3.06,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",1.74,1519,6,4,1,7,7,9,7,2.5,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),2.1,1232,18,5,10,0,8,6,2,3.23,Yes
Business Tech0logy Administration,Computer Science and Electrical Engineering,0.36,1199,14,5,1,6,0,7,6,3.53,Yes
Computer Engineering,Information Systems,3.95,1066,14,2,3,4,8,5,1,1.85,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.39,1209,1,3,0,3,0,2,8,2.97,Yes
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),1.17,1032,17,10,9,0,9,9,0,3.7,No
Computer Science,Biological Sciences (in collaboration with COEIT),0.23,814,14,8,2,3,6,2,4,2.13,Yes
Business Tech0logy Administration,Computer Science and Electrical Engineering,2.47,985,31,0,7,2,1,2,7,3.05,No
Environmental Engineering,Information Systems,2.37,1137,10,8,8,0,3,10,2,3.93,Yes
Business Tech0logy Administration,Biological Sciences (in collaboration with COEIT),1.24,817,33,7,2,8,7,4,4,1.89,Yes
Computer Engineering,Mechanical Engineering,1.36,1561,5,3,6,6,7,9,6,2.69,Yes
Cybersecurity Informatics,Mechanical Engineering,2.1,1538,16,3,3,6,9,3,10,1.79,Yes
Information Systems,Mechanical Engineering,3.52,996,20,4,10,1,6,9,8,2.86,Yes
Mechanical Engineering,Information Systems,0.44,1085,22,10,2,10,3,9,10,1.55,Yes
Computer Engineering,Information Systems,2.04,958,17,9,4,6,3,8,8,0.51,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",1.75,1464,9,1,8,3,5,0,4,3.55,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",1.87,1162,9,6,3,3,9,8,7,2.84,No
Bioinformatics and Computational Biology,Mechanical Engineering,3.64,1266,15,1,7,8,4,7,10,3.98,No
Computer Science,Computer Science and Electrical Engineering,2.18,1009,14,6,1,3,8,5,6,2.91,Yes
Computer Science,Computer Science and Electrical Engineering,2.78,1295,9,4,10,2,4,8,1,3.38,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,3.65,930,9,6,8,4,5,5,8,3.83,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",1.21,1329,33,0,9,5,7,6,4,0.24,Yes
Information Systems,Information Systems,1.43,1155,31,8,0,7,9,3,3,3.43,Yes
Electrical Engineering,Computer Science and Electrical Engineering,0.91,1235,10,3,7,3,3,5,9,0.44,No
Business Tech0logy Administration,Information Systems,2.61,1087,10,9,7,8,9,2,8,3.51,No
Computer Engineering,Mechanical Engineering,1.02,1360,5,10,2,2,9,4,9,3.09,Yes
Environmental Engineering,Information Systems,0.94,964,18,7,0,4,1,9,1,1.86,No
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.95,870,33,5,3,10,1,3,6,3.25,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",2.79,1083,18,3,2,2,10,3,1,1.61,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.26,831,12,9,1,5,9,1,7,2.91,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),3.88,968,25,7,5,2,4,5,0,0.79,Yes
Bioinformatics and Computational Biology,Information Systems,3.88,1219,27,8,2,6,1,2,9,0.28,Yes
Environmental Engineering,Information Systems,1.33,885,9,4,6,10,1,6,1,2.66,Yes
Computer Science,Information Systems,2.08,1584,13,9,1,2,3,8,2,1.65,No
Bioinformatics and Computational Biology,Mechanical Engineering,3.69,809,22,7,3,4,6,0,0,0.88,Yes
Computer Science,Mechanical Engineering,0.1,1328,2,3,7,6,0,5,5,0.65,Yes
Computer Science,Computer Science and Electrical Engineering,3.66,1151,15,9,2,7,4,6,0,3.5,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",3.43,1367,23,3,0,8,2,8,10,1.39,No
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),1.87,1545,13,8,4,5,2,3,2,3.31,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",2.07,938,20,6,6,5,7,6,0,0.69,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",0.19,1100,13,4,4,0,3,7,2,1.84,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),2.22,926,27,6,10,5,10,5,7,1.75,Yes
Mechanical Engineering,Mechanical Engineering,0.49,1328,17,0,5,4,5,4,4,0.92,Yes
Business Tech0logy Administration,Information Systems,1.06,991,31,10,9,8,9,1,9,0.79,Yes
Information Systems,Mechanical Engineering,3.22,1274,26,1,0,10,0,0,8,1.98,Yes
Computer Science,Information Systems,2.02,1433,22,3,1,3,1,2,6,1.82,No
Environmental Engineering,Information Systems,3.01,1366,32,9,10,3,7,7,6,3.14,Yes
Environmental Engineering,Mechanical Engineering,3.73,1006,22,1,0,10,5,4,6,1.9,No
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",0.68,1060,28,5,10,1,7,9,5,1.33,Yes
Bioinformatics and Computational Biology,Information Systems,1.04,906,1,1,2,10,6,4,7,1.92,Yes
Information Systems,Mechanical Engineering,2.35,1431,4,7,2,6,5,8,8,3.67,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.8,1132,16,10,9,10,2,8,5,0.6,Yes
Business Tech0logy Administration,Biological Sciences (in collaboration with COEIT),3.12,1562,23,6,3,5,4,8,8,3.67,No
Computer Engineering,Information Systems,2.56,841,14,4,5,6,6,7,6,2.79,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",2.72,1523,3,9,1,8,3,9,10,2.66,No
Computer Science,Information Systems,1.73,1147,1,10,0,1,5,7,0,1.73,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",1.61,930,16,0,0,9,0,1,0,1.44,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),3.95,896,8,10,9,7,1,1,8,2.99,No
Information Systems,Information Systems,3.43,1304,1,7,2,10,7,4,10,2.44,No
Mechanical Engineering,Mechanical Engineering,3.04,1084,21,3,10,7,5,5,8,2.61,Yes
Business Tech0logy Administration,"Chemical, Biochemical & Environmental Engineering",2.88,1261,2,3,3,8,9,4,4,2.48,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),2.27,1419,12,3,1,5,5,7,2,0.24,No
Mechanical Engineering,Information Systems,1.32,1443,14,0,4,1,7,10,6,2.06,No
Chemical Engineering,Biological Sciences (in collaboration with COEIT),1.73,977,22,9,4,4,7,0,10,1.44,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),0.24,1588,20,9,8,1,0,5,0,3.21,Yes
Cybersecurity Informatics,Information Systems,0.36,1016,17,1,6,3,8,9,5,2.35,Yes
Environmental Engineering,Information Systems,1.54,1192,7,10,0,4,3,9,2,1.74,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",0.46,1499,21,6,6,7,1,4,4,3.97,Yes
Cybersecurity Informatics,Mechanical Engineering,1.59,811,34,0,10,9,2,1,3,2.69,No
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),0.85,1111,22,4,2,8,6,10,1,3.53,Yes
Mechanical Engineering,Information Systems,1.4,1316,22,8,9,10,8,7,7,3.69,No
Chemical Engineering,Biological Sciences (in collaboration with COEIT),1.52,1276,21,7,2,10,6,6,8,2.97,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.18,1594,13,7,10,4,0,9,7,1.68,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",2.74,1414,6,4,3,10,5,4,5,1.97,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.26,976,25,3,1,5,5,1,10,0.63,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,1.46,1075,31,9,8,0,4,1,10,2.47,No
Chemical Engineering,Computer Science and Electrical Engineering,3.3,1439,25,1,5,0,0,0,4,2.05,No
Business Tech0logy Administration,Computer Science and Electrical Engineering,3.8,1084,32,0,9,0,4,10,1,0.86,No
Cybersecurity Informatics,Computer Science and Electrical Engineering,1.11,1046,29,1,10,1,4,7,10,0.16,Yes
Computer Science,Mechanical Engineering,2.87,1010,35,6,5,7,10,5,5,3.48,Yes
Chemical Engineering,Mechanical Engineering,0.23,1091,12,5,8,4,7,1,9,0.12,Yes
Business Tech0logy Administration,Biological Sciences (in collaboration with COEIT),2.08,896,16,6,1,10,4,5,4,1.52,No
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),0.63,1447,9,9,5,9,4,3,1,2.24,Yes
Business Tech0logy Administration,"Chemical, Biochemical & Environmental Engineering",3.33,957,13,2,8,2,8,2,3,2.12,Yes
Computer Science,Mechanical Engineering,1.66,988,12,4,6,4,5,8,5,2.14,Yes
Computer Science,Computer Science and Electrical Engineering,2.42,1051,26,2,10,10,8,2,2,0.91,Yes
Information Systems,Computer Science and Electrical Engineering,2.33,1150,15,8,8,7,9,7,9,1.32,No
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),0.42,1184,4,7,0,6,10,9,0,0.02,No
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",0.4,1266,10,6,8,9,8,7,0,3.7,No
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",2.29,1485,12,5,5,1,3,4,3,2.42,No
Chemical Engineering,Information Systems,1.26,1585,22,3,5,9,2,5,7,3.27,Yes
Chemical Engineering,Mechanical Engineering,0.45,1110,30,3,4,8,6,4,8,2.89,Yes
Environmental Engineering,Computer Science and Electrical Engineering,1.24,909,15,1,1,9,3,3,7,2.25,No
Information Systems,Computer Science and Electrical Engineering,0.76,1392,5,10,5,3,5,2,5,2.05,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),0.16,905,4,5,0,5,5,7,1,1.79,No
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),1.52,1342,26,5,0,1,7,5,6,2.21,Yes
Environmental Engineering,Mechanical Engineering,2.72,863,19,9,6,10,8,0,10,0.81,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),0.45,1075,14,1,0,4,6,7,0,1.58,Yes
Business Tech0logy Administration,Biological Sciences (in collaboration with COEIT),2.34,1175,27,6,4,5,5,3,1,2.2,Yes
Electrical Engineering,Computer Science and Electrical Engineering,0.61,1084,26,9,5,1,0,1,4,2.93,No
Electrical Engineering,Mechanical Engineering,0.27,1030,23,3,3,0,3,4,0,3.14,No
Information Systems,Computer Science and Electrical Engineering,0.37,982,2,5,4,9,1,1,10,3.45,Yes
Environmental Engineering,Computer Science and Electrical Engineering,0.84,1384,13,10,1,10,5,1,1,1.4,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),1.86,1344,12,5,9,10,1,9,10,2.36,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,1.78,1457,3,6,6,2,4,5,8,2.15,Yes
Chemical Engineering,Mechanical Engineering,1.91,980,4,2,9,10,6,4,3,1.61,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),1.5,1065,31,4,0,1,5,9,1,1.34,No
Chemical Engineering,Mechanical Engineering,3.52,1339,28,4,1,5,3,10,5,0.04,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",3.54,1152,11,3,7,10,4,7,5,0.71,Yes
Electrical Engineering,Mechanical Engineering,2.63,1286,16,9,9,2,5,9,4,0.55,Yes
Computer Science,Mechanical Engineering,1.3,1292,29,9,1,1,7,10,7,1.2,Yes
Computer Science,Information Systems,0.74,1372,15,9,0,6,9,2,1,1.44,Yes
Computer Engineering,Mechanical Engineering,2.79,1019,21,10,4,0,10,7,0,1.12,Yes
Computer Science,Computer Science and Electrical Engineering,3.99,1499,14,6,1,8,3,7,7,3.17,Yes
Computer Science,Computer Science and Electrical Engineering,3.28,1398,16,4,9,0,5,3,1,0.79,No
Computer Engineering,Biological Sciences (in collaboration with COEIT),1.31,1465,27,2,2,4,8,7,6,1.05,No
Computer Science,"Chemical, Biochemical & Environmental Engineering",0.77,842,28,3,5,6,8,3,9,2.01,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),3.27,1344,14,1,5,9,8,9,0,1.14,Yes
Information Systems,Mechanical Engineering,1.61,1587,10,2,2,4,3,3,7,3.58,No
Electrical Engineering,Mechanical Engineering,2.34,815,9,4,9,2,6,3,4,2.45,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,0.17,1471,28,0,9,1,10,10,9,1.35,No
Information Systems,Mechanical Engineering,3.23,1429,14,3,2,1,5,5,3,1.81,Yes
Chemical Engineering,Mechanical Engineering,0.81,1322,19,4,6,8,3,10,4,1.69,Yes
Business Tech0logy Administration,Computer Science and Electrical Engineering,3.05,907,13,4,5,10,9,5,5,3.56,No
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",2.64,1415,3,7,0,5,7,0,5,2.34,No
Information Systems,Mechanical Engineering,1.65,1117,7,2,4,3,6,3,2,1.49,Yes
Business Tech0logy Administration,Information Systems,2.13,1422,28,8,10,9,8,2,8,1.98,No
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",2.15,1311,14,3,6,9,8,8,2,1.45,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",0.9,1465,22,10,5,6,5,9,5,3.08,No
Computer Science,Computer Science and Electrical Engineering,0.52,918,31,9,3,1,5,8,6,0.07,No
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),3.24,800,1,4,0,3,8,0,10,1.99,Yes
Electrical Engineering,Mechanical Engineering,2.76,1541,12,1,10,0,7,1,8,0.99,Yes
Electrical Engineering,Mechanical Engineering,2.49,1579,24,1,6,10,7,8,9,0.93,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),1.11,1112,30,10,3,3,5,10,0,0.74,Yes
Computer Engineering,Mechanical Engineering,1.61,872,27,8,3,6,2,10,9,2,Yes
Computer Science,Information Systems,0.59,1127,16,8,4,9,1,1,6,0.43,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),3.02,1306,21,1,6,8,9,5,0,2.08,No
Mechanical Engineering,Computer Science and Electrical Engineering,0.06,1406,4,0,8,10,3,1,0,2.41,Yes
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),0.01,1011,2,0,3,4,4,4,4,3.59,No
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",2.08,946,21,8,0,5,1,6,3,3.06,Yes
Environmental Engineering,Computer Science and Electrical Engineering,1.38,1407,7,4,2,6,8,0,8,2.6,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",0.58,918,7,2,6,8,5,5,3,3.23,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,2.89,1086,2,0,9,10,10,7,3,1.41,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),3.73,821,12,3,9,9,0,6,3,2.13,No
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",1.12,920,1,10,6,10,2,9,3,0.34,No
Electrical Engineering,Computer Science and Electrical Engineering,2.41,875,3,2,1,9,0,7,8,2.09,Yes
