Program,Department,High School GPA,SAT Score,ACT Score,Advanced Coursework (0-10),STEM Extracurriculars (0-10),Leadership Experience (0-10),Letters of Recommendation (0-10),Personal Statement Quality (0-10),Diversity/Inclusion Contribution (0-10),Transfer Student GPA,Admission Accepted
Computer Science,Biological Sciences (in collaboration with COEIT),2.5,1535,30,6,5,6,0,4,2,3.79,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.09,1326,28,6,1,3,0,5,8,2.93,No
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",3.01,1009,28,6,5,8,10,1,6,2.6,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),2.89,1549,23,5,3,0,6,1,6,3.72,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),3.71,1126,21,8,3,2,8,3,6,2.66,Yes
Bioinformatics and Computational Biology,Information Systems,3.24,1380,24,1,9,6,9,10,10,3.11,Yes
Information Systems,Information Systems,3.76,1555,26,1,6,4,1,2,6,2.93,Yes
Chemical Engineering,Information Systems,3.92,1589,28,8,4,1,0,2,5,3.3,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,3.09,1161,23,4,10,3,9,6,3,3.22,Yes
Cybersecurity Informatics,Information Systems,3.94,1407,26,2,8,0,5,5,8,2.62,No
Mechanical Engineering,Computer Science and Electrical Engineering,4,1093,32,0,0,4,3,3,2,3.41,Yes
Information Systems,Computer Science and Electrical Engineering,3.36,1587,20,8,5,9,5,4,4,3.52,Yes
Information Systems,Computer Science and Electrical Engineering,2.96,1237,30,10,10,5,4,5,4,3.94,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.25,1268,21,1,10,1,3,9,9,3.74,Yes
Cybersecurity Informatics,Information Systems,2.92,1482,25,3,1,7,3,7,5,3.5,No
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.49,1489,25,0,5,9,7,5,6,2.61,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,2.66,1271,21,4,5,7,6,5,0,2.72,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",3.77,1119,23,2,8,1,6,5,8,3.97,Yes
Environmental Engineering,Information Systems,2.84,1248,26,0,8,0,5,10,10,2.88,Yes
Mechanical Engineering,Information Systems,3.72,1385,29,9,1,7,10,0,2,3.55,Yes
Business TechNology Administration,Information Systems,3.54,1594,21,1,4,3,5,9,1,3.77,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.18,1123,26,8,4,3,5,1,8,3.52,Yes
Business TechNology Administration,Biological Sciences (in collaboration with COEIT),3.73,1241,24,6,0,0,2,0,7,2.81,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.7,1363,26,2,10,2,5,10,3,3.34,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",2.55,1215,30,0,4,4,4,2,2,3.4,Yes
Chemical Engineering,Information Systems,3.43,1350,30,4,1,1,10,3,9,3.34,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),2.63,1177,21,3,2,4,6,3,10,3.12,Yes
Mechanical Engineering,Information Systems,3.07,1555,28,5,1,4,5,3,5,3.26,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,2.51,1300,26,7,8,7,0,1,7,3.31,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",2.77,1409,23,6,7,8,5,4,9,2.91,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.16,1476,20,1,8,10,6,0,9,2.99,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,2.95,1032,29,9,8,9,2,9,3,3.67,Yes
Business TechNology Administration,Mechanical Engineering,2.88,1266,23,4,10,9,2,10,9,3.21,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.46,1574,31,0,3,10,9,5,4,2.78,Yes
Computer Science,Computer Science and Electrical Engineering,3.01,1250,24,0,3,5,5,7,9,2.56,Yes
Electrical Engineering,Information Systems,3.5,1030,31,1,8,8,1,4,5,3.74,Yes
Environmental Engineering,Information Systems,3.51,1146,32,8,2,8,3,7,2,3.16,Yes
Bioinformatics and Computational Biology,Information Systems,3.64,1159,27,0,8,0,3,4,2,2.65,No
Environmental Engineering,Information Systems,3.33,1568,32,3,8,6,7,1,1,2.83,No
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.48,1258,33,5,1,3,3,2,4,3.73,Yes
Information Systems,Computer Science and Electrical Engineering,3.19,1524,33,7,9,1,1,3,2,3.15,Yes
Information Systems,Computer Science and Electrical Engineering,3.27,1343,22,5,2,2,8,5,3,3.07,No
Computer Science,Biological Sciences (in collaboration with COEIT),3.13,1484,22,3,8,2,7,0,9,3.59,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.41,1013,23,3,10,7,5,10,6,2.73,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",2.55,1093,34,1,0,5,9,3,6,3.85,Yes
Bioinformatics and Computational Biology,Information Systems,3.56,1524,27,3,6,1,5,1,7,2.52,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",2.84,1489,31,6,2,6,1,6,1,2.64,Yes
Computer Engineering,Mechanical Engineering,2.89,1222,33,2,6,4,3,0,8,2.9,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.95,1107,35,3,7,9,3,4,9,3.06,Yes
Business TechNology Administration,Mechanical Engineering,3.3,1184,31,5,3,1,8,0,1,3.71,Yes
Environmental Engineering,Mechanical Engineering,3.13,1147,26,4,5,7,7,4,3,2.7,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,3.24,1345,31,2,10,5,7,8,6,3.25,Yes
Mechanical Engineering,Information Systems,3.18,1508,27,2,4,1,3,2,5,3.55,Yes
Computer Science,Information Systems,2.91,1130,31,6,8,7,1,5,8,2.64,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.01,1254,20,9,8,4,6,9,4,2.7,No
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",2.87,1132,30,8,9,8,6,4,9,3.65,No
Environmental Engineering,Information Systems,2.64,1129,33,8,0,4,5,4,2,2.92,Yes
Information Systems,Computer Science and Electrical Engineering,2.67,1030,29,6,2,1,8,3,10,3.8,No
Computer Engineering,Computer Science and Electrical Engineering,3.09,1576,25,9,8,6,9,0,9,3.91,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",3.51,1441,27,3,8,2,5,5,8,2.94,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",3.7,1234,27,6,6,5,3,5,4,3.53,Yes
Information Systems,Computer Science and Electrical Engineering,3.13,1441,32,10,8,9,1,8,7,3.99,Yes
Mechanical Engineering,Information Systems,3.37,1279,31,4,8,9,10,5,4,3.22,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.61,1097,35,3,0,7,6,10,7,2.83,Yes
Business TechNology Administration,Biological Sciences (in collaboration with COEIT),3.27,1508,25,0,5,2,1,8,7,3.76,No
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.47,1515,26,9,3,5,5,4,4,2.51,Yes
Electrical Engineering,Information Systems,3.48,1177,25,3,3,5,3,0,3,3.36,Yes
Electrical Engineering,Information Systems,3.48,1083,34,10,2,6,6,9,1,2.71,Yes
Cybersecurity Informatics,Information Systems,3.17,1515,30,9,3,10,1,1,2,2.53,No
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",2.57,1435,23,10,8,0,2,8,7,3.22,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",3.08,1043,34,9,5,3,6,9,5,3.58,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.63,1029,32,1,10,1,9,1,5,2.89,No
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",2.99,1369,26,0,1,10,8,10,3,3.36,Yes
Environmental Engineering,Information Systems,3.64,1373,22,0,7,0,5,9,0,3.14,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.33,1117,20,7,2,5,5,5,5,3.24,Yes
Computer Engineering,Mechanical Engineering,2.95,1293,26,10,7,4,10,0,2,3.55,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,2.56,1030,26,3,8,7,9,3,10,3.82,No
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),3.99,1523,30,2,7,8,3,7,7,3.84,Yes
Chemical Engineering,Information Systems,3.84,1183,23,3,7,1,7,0,10,3.62,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.07,1460,30,4,8,7,5,0,2,2.65,Yes
Cybersecurity Informatics,Information Systems,3.44,1533,26,10,1,4,4,8,0,3.85,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",2.54,1209,20,5,6,1,4,1,2,3.36,Yes
Electrical Engineering,Information Systems,2.7,1255,24,9,6,2,6,6,1,3.07,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.68,1087,29,6,6,10,9,8,9,3.87,Yes
Computer Science,Information Systems,3.07,1507,26,2,9,4,9,7,5,2.95,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",3.84,1505,34,2,1,4,5,10,4,2.63,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),2.74,1141,35,2,5,10,1,1,8,3.02,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.74,1503,27,7,1,0,8,3,3,2.66,Yes
Cybersecurity Informatics,Information Systems,3.46,1586,35,0,3,7,9,6,9,3.29,No
Chemical Engineering,Computer Science and Electrical Engineering,3.08,1550,33,5,2,9,6,5,3,3.59,No
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.81,1504,32,6,5,8,3,4,6,3.17,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.39,1213,27,8,2,1,2,5,8,2.75,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",2.61,1559,30,10,3,10,9,0,2,2.51,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",2.87,1201,33,1,4,0,8,3,2,3.45,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",2.59,1434,26,2,7,5,5,9,5,3.28,Yes
Information Systems,Computer Science and Electrical Engineering,3.46,1528,20,2,1,10,9,9,3,3.03,Yes
Computer Engineering,Information Systems,3.46,1570,33,3,3,1,7,3,6,3.39,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.66,1029,35,3,7,0,4,4,2,2.62,Yes
Computer Science,Information Systems,3.63,1206,33,5,10,9,2,6,6,3.59,No
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.58,1494,29,1,3,9,9,5,0,3.58,Yes
Computer Engineering,Computer Science and Electrical Engineering,2.92,1074,32,4,7,2,3,4,1,2.87,Yes
Environmental Engineering,Computer Science and Electrical Engineering,2.88,1086,25,8,7,0,4,1,8,3.99,No
Computer Engineering,Computer Science and Electrical Engineering,3.93,1459,21,8,10,5,2,7,9,2.76,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),2.69,1549,27,0,10,10,9,4,0,3.5,Yes
Environmental Engineering,Computer Science and Electrical Engineering,2.7,1302,24,6,9,10,10,2,2,3.06,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",3.46,1231,25,4,7,8,8,4,9,3.58,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",3.77,1321,28,9,5,4,5,9,4,3.61,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.02,1542,30,6,10,7,0,6,1,3.91,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),4,1337,25,9,4,0,0,5,9,3.6,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",2.75,1052,33,7,7,6,2,1,3,2.72,Yes
Electrical Engineering,Information Systems,3.61,1263,27,5,0,6,2,1,0,3.22,Yes
Bioinformatics and Computational Biology,Information Systems,3.38,1384,24,8,10,3,5,9,7,2.8,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",2.83,1265,33,1,9,5,10,1,7,3.95,Yes
Cybersecurity Informatics,Information Systems,3.19,1455,33,9,7,0,10,0,7,2.56,No
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",3.02,1178,23,4,1,10,3,1,8,3.7,No
Electrical Engineering,Computer Science and Electrical Engineering,3.78,1229,26,7,10,3,2,0,7,3.38,Yes
Computer Science,Information Systems,2.95,1045,30,6,6,9,4,6,0,3.4,Yes
Computer Engineering,Information Systems,3.63,1098,23,5,0,8,4,10,9,3.2,Yes
Information Systems,Information Systems,2.71,1373,30,5,5,4,4,10,9,3.9,Yes
Business TechNology Administration,Information Systems,3.61,1006,33,8,1,1,7,10,3,2.93,Yes
Information Systems,Computer Science and Electrical Engineering,3.18,1114,25,6,3,5,10,6,9,2.97,Yes
Electrical Engineering,Information Systems,2.65,1452,35,10,5,1,7,10,4,3.56,Yes
Computer Engineering,Computer Science and Electrical Engineering,2.94,1227,29,8,7,3,4,2,0,3.33,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),3.08,1513,21,9,9,6,6,9,5,2.69,Yes
Computer Science,Computer Science and Electrical Engineering,3.89,1378,30,7,2,1,7,7,10,3.55,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.29,1159,29,0,1,7,1,4,5,3.78,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),3.56,1357,31,5,6,2,7,4,4,3.22,Yes
Electrical Engineering,Information Systems,3.02,1109,33,7,4,8,5,1,9,3.94,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),3.02,1350,30,0,1,0,3,7,0,2.81,No
Electrical Engineering,Computer Science and Electrical Engineering,3.93,1336,34,4,7,2,1,6,2,3.41,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.15,1524,25,0,1,4,7,10,0,2.67,Yes
Cybersecurity Informatics,Information Systems,3.52,1350,27,0,4,1,7,2,2,2.99,Yes
Computer Science,Information Systems,3.46,1116,27,0,2,0,1,0,3,3.24,Yes
Bioinformatics and Computational Biology,Information Systems,2.61,1247,35,10,9,0,7,5,2,3.12,No
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",2.88,1001,29,4,7,0,9,9,7,3.02,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),3.4,1192,28,1,2,2,0,0,9,2.66,No
Mechanical Engineering,Information Systems,3.33,1189,35,3,10,2,4,4,3,3.74,Yes
Computer Science,Computer Science and Electrical Engineering,3.93,1429,25,1,2,4,2,3,7,3.69,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.58,1373,22,8,6,1,6,9,9,2.87,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.09,1181,32,6,3,1,3,5,0,2.91,Yes
Computer Science,Information Systems,3.33,1235,31,2,6,1,3,4,10,2.65,Yes
Information Systems,Mechanical Engineering,3,1122,20,5,5,9,0,2,6,2.98,Yes
Chemical Engineering,Information Systems,3.91,1095,32,6,5,2,8,10,2,2.55,Yes
Bioinformatics and Computational Biology,Information Systems,3.36,1340,27,1,2,2,7,2,5,3.22,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.38,1328,34,4,3,5,1,2,5,2.6,No
Cybersecurity Informatics,Computer Science and Electrical Engineering,2.76,1181,32,10,2,0,6,7,5,3.32,No
Environmental Engineering,Information Systems,2.88,1163,35,9,0,6,6,2,6,2.77,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,3.13,1150,26,7,10,6,7,0,9,2.65,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.78,1136,29,6,4,10,0,3,4,3.63,Yes
Business TechNology Administration,Information Systems,2.77,1576,20,3,4,5,9,4,5,3.43,Yes
Computer Science,Computer Science and Electrical Engineering,3.16,1130,25,3,1,4,4,6,6,2.81,No
Information Systems,Computer Science and Electrical Engineering,3.28,1240,28,2,0,9,6,8,10,2.79,Yes
Business TechNology Administration,Information Systems,3.23,1223,30,5,6,7,5,7,6,2.94,Yes
Computer Engineering,Information Systems,3.77,1142,29,3,5,10,0,6,0,3.58,Yes
Bioinformatics and Computational Biology,Information Systems,2.63,1338,23,3,7,2,4,2,8,2.81,No
Information Systems,"Chemical, Biochemical & Environmental Engineering",2.52,1388,33,0,1,3,6,10,7,3.13,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.28,1138,34,9,1,2,9,4,3,3.99,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",3.76,1422,25,5,6,4,9,6,7,3.87,Yes
Bioinformatics and Computational Biology,Information Systems,3.11,1356,30,3,9,10,8,10,0,3.52,Yes
Business TechNology Administration,Mechanical Engineering,2.93,1589,35,1,9,8,5,10,4,3.58,No
Bioinformatics and Computational Biology,Information Systems,2.72,1397,26,9,10,8,5,0,0,3.05,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,3.44,1543,35,8,2,0,7,5,7,3.56,No
Information Systems,Biological Sciences (in collaboration with COEIT),3.2,1133,28,10,5,5,3,0,5,3.7,Yes
Mechanical Engineering,Mechanical Engineering,3.93,1146,23,3,1,10,3,7,9,3.3,Yes
Computer Science,Computer Science and Electrical Engineering,3.51,1258,23,5,1,9,7,9,9,2.7,No
Computer Science,Information Systems,3.61,1056,22,5,7,7,0,1,1,2.9,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),3.28,1147,35,10,7,8,6,8,3,2.52,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,2.57,1287,23,8,4,10,2,6,9,3.74,No
Mechanical Engineering,Information Systems,2.6,1137,25,10,10,7,3,8,1,3.14,No
Environmental Engineering,Information Systems,2.73,1526,31,4,1,5,3,0,2,3.54,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.06,1253,29,3,3,9,4,7,5,3.77,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",3.8,1050,27,0,0,1,1,8,2,2.58,Yes
Computer Science,Computer Science and Electrical Engineering,2.73,1502,20,1,8,2,2,1,7,3.84,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,2.65,1080,32,2,8,5,5,5,0,3.86,Yes
Computer Science,Information Systems,3.51,1291,25,3,3,10,0,1,7,3.08,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.37,1203,31,8,10,5,2,7,0,3.33,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.97,1171,26,5,2,10,8,9,9,2.91,No
Information Systems,Information Systems,3.82,1376,28,9,7,10,6,6,6,3.93,Yes
Mechanical Engineering,Information Systems,3.3,1218,30,7,2,1,6,9,8,3.69,No
Computer Science,Information Systems,3.39,1483,31,1,0,6,2,8,9,3.14,Yes
Electrical Engineering,Information Systems,3.61,1142,20,9,4,1,8,2,4,3.43,Yes
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),3.66,1261,23,1,10,9,7,2,6,3.86,No
Information Systems,"Chemical, Biochemical & Environmental Engineering",3.86,1291,30,6,7,2,10,6,8,3.14,Yes
Computer Science,Computer Science and Electrical Engineering,2.51,1424,26,5,5,9,9,4,2,2.63,No
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",2.55,1469,32,6,10,0,4,6,8,3.69,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",3.07,1457,22,0,10,10,5,3,9,2.75,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",2.72,1403,35,2,6,1,9,2,9,2.72,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.86,1576,24,6,9,9,5,9,10,3.2,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",3.14,1532,31,1,5,10,0,3,9,3.25,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",2.93,1192,20,8,10,3,9,0,7,3.22,Yes
Business TechNology Administration,Mechanical Engineering,2.81,1092,33,8,0,2,5,0,1,3.37,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.5,1422,26,9,5,5,6,3,3,3.7,Yes
Computer Science,Information Systems,3.59,1139,28,9,1,6,2,9,6,3.62,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,2.91,1584,34,10,7,1,9,9,3,3.17,Yes
Computer Science,Computer Science and Electrical Engineering,3.96,1299,35,7,10,4,8,6,4,3.72,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",3.96,1010,35,9,7,5,1,3,6,3.99,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.26,1139,31,9,0,7,10,6,3,3.96,Yes
Business TechNology Administration,Information Systems,3.3,1324,31,7,9,1,10,2,9,3.7,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",2.67,1146,33,3,4,6,6,0,2,3.44,Yes
Computer Science,Information Systems,3.38,1102,27,7,8,6,5,9,5,2.69,Yes
Chemical Engineering,Computer Science and Electrical Engineering,2.92,1079,32,1,2,7,10,9,8,3.61,Yes
Business TechNology Administration,Biological Sciences (in collaboration with COEIT),3.79,1118,35,10,2,5,9,0,9,3.36,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.43,1321,22,10,8,8,7,2,9,2.77,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.28,1059,24,3,9,2,8,8,10,3.12,Yes
Mechanical Engineering,Mechanical Engineering,3.04,1069,32,2,2,6,3,4,8,3.19,No
Computer Engineering,Computer Science and Electrical Engineering,3.18,1574,22,4,6,3,3,2,6,2.87,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.07,1482,34,4,8,1,3,0,6,2.98,Yes
Mechanical Engineering,Information Systems,2.87,1152,28,7,1,9,8,6,10,3.93,Yes
Electrical Engineering,Information Systems,3.14,1367,27,1,9,0,1,4,9,3.03,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),3.83,1071,27,8,0,3,9,10,9,2.54,No
Cybersecurity Informatics,Information Systems,3.76,1568,31,10,3,8,6,3,9,3.93,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.64,1088,22,9,1,2,10,9,3,3.67,No
Chemical Engineering,Computer Science and Electrical Engineering,3.92,1514,21,7,4,7,0,2,7,3.92,Yes
Business TechNology Administration,Information Systems,3.23,1539,22,0,8,1,1,9,8,2.68,Yes
Chemical Engineering,Information Systems,3.98,1073,23,6,10,3,7,7,1,3.74,Yes
Cybersecurity Informatics,Mechanical Engineering,3.97,1574,34,6,3,7,5,10,4,3.01,Yes
Information Systems,Information Systems,3.01,1433,32,5,6,2,6,0,6,2.69,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.23,1143,24,10,7,2,9,1,2,2.9,Yes
Information Systems,Information Systems,3.79,1003,24,5,1,5,3,0,10,2.59,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.61,1153,21,2,5,3,7,1,3,3.88,Yes
Computer Science,Computer Science and Electrical Engineering,3.26,1517,22,2,2,8,8,9,6,2.98,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,2.67,1356,34,10,4,4,8,3,1,2.91,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,3.3,1542,30,3,8,10,3,8,0,3.05,No
Electrical Engineering,Information Systems,2.64,1397,22,3,0,4,3,9,0,2.98,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,3.03,1477,23,2,6,1,10,6,4,2.83,Yes
Information Systems,Information Systems,2.98,1363,25,7,7,7,1,3,2,2.66,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),2.55,1120,35,2,3,1,1,8,0,3.84,No
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),3.32,1554,30,6,7,1,6,6,8,3.9,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",2.67,1349,33,5,0,6,1,1,1,3.4,Yes
Chemical Engineering,Information Systems,2.77,1416,23,1,9,6,2,1,5,3.33,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),2.58,1064,31,0,2,8,7,10,4,3.03,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.89,1014,33,10,10,8,5,0,6,3.52,Yes
Business TechNology Administration,Information Systems,2.87,1307,25,5,3,5,9,1,3,3.87,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",3.15,1176,33,3,0,1,2,4,7,2.83,Yes
Information Systems,Computer Science and Electrical Engineering,2.88,1064,20,10,1,10,10,1,1,2.78,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.91,1494,33,2,7,6,9,10,8,2.7,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.14,1460,28,8,9,1,8,8,4,3.87,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),3.66,1474,25,1,10,3,1,2,7,3.15,Yes
Cybersecurity Informatics,Mechanical Engineering,3.25,1432,20,7,4,3,2,7,1,3.77,Yes
Information Systems,Information Systems,2.6,1116,35,10,9,6,0,0,9,2.98,Yes
Electrical Engineering,Mechanical Engineering,2.95,1012,20,4,8,10,0,10,8,3.86,Yes
Information Systems,Information Systems,3.32,1201,25,8,2,1,9,4,4,3.92,Yes
Mechanical Engineering,Information Systems,3.47,1161,25,5,0,8,2,9,3,3.87,Yes
Cybersecurity Informatics,Mechanical Engineering,3.08,1114,25,8,5,4,7,7,0,3.38,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),3.42,1159,20,1,1,8,1,4,10,3.41,Yes
Cybersecurity Informatics,Information Systems,3.72,1542,26,6,10,7,7,2,10,4,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",3.08,1154,33,4,0,7,2,4,6,3.01,No
Computer Science,Biological Sciences (in collaboration with COEIT),2.93,1018,22,0,4,9,4,1,4,3.02,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",2.85,1389,29,2,5,1,5,10,5,3.77,Yes
Computer Engineering,Information Systems,3.5,1260,35,0,9,1,2,4,3,3.57,Yes
Information Systems,Computer Science and Electrical Engineering,2.75,1437,29,4,1,6,2,6,7,2.82,Yes
Mechanical Engineering,Information Systems,2.96,1175,32,4,3,1,0,7,10,3.19,Yes
Computer Engineering,Information Systems,3.4,1052,28,1,7,5,4,1,3,3.28,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",3.55,1374,29,5,10,10,3,4,0,3.8,No
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3,1578,24,5,3,0,0,10,8,3.38,No
Bioinformatics and Computational Biology,Information Systems,3.38,1326,20,3,0,9,2,6,3,3.9,Yes
Computer Science,Mechanical Engineering,3.09,1554,33,5,9,10,9,1,4,3.87,Yes
Computer Engineering,Information Systems,3.57,1376,26,10,3,2,6,0,5,3.07,Yes
Business TechNology Administration,Information Systems,3.29,1578,34,10,10,8,8,4,7,3.14,Yes
Electrical Engineering,Information Systems,3.84,1489,30,0,9,1,10,0,2,3.07,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.57,1240,24,9,3,0,0,9,6,3.97,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),2.76,1350,33,0,2,3,0,9,8,2.69,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.96,1302,28,3,8,9,4,7,1,3.26,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",2.85,1147,25,6,10,9,4,1,1,3.87,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.24,1090,27,3,4,8,7,6,2,3.13,No
Computer Engineering,Computer Science and Electrical Engineering,3.12,1099,30,0,4,3,9,9,7,3.75,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.51,1362,25,3,9,0,1,8,4,3.13,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.9,1416,32,10,3,7,3,1,10,3.74,Yes
